,Line #,Name,Description,Designator,Revision ID,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
,,"TNPW040210K0DEED, 10",,"10K, 10K_1, 10k_2, 10k_3, 10k_4, 10k_6, 10k_7, 10k_8, 10K_9, 10K_10",CMP-2002-01682-1,Up to date,10,Vishay,TNPW040210K0DEED,Volume Production,,,,
,,3290W-1-203,,"20k, 20k_1",CMP-2000-05581-2,Up to date,2,Bourns,3290W-1-203,Volume Production,Arrow Electronics,3290W-1-203,0,0
,,100K 1% 0603(1608),100K 0.1W 1% 0603 (1608 Metric)  SMD,"100K, 100K_1, 100k_2, 100k_3, 100k_4",CMP-1012-00736-1,Up to date,5,Vishay,CRCW0603100KFKEC,Volume Production,Arrow Electronics,CRCW0603100KFKEC,0.0005,0.0025
,,AC1210KKX7R0BB104,CAP CER 0.1UF 100V X7R 1210,"100nF, 100nF_2, 100nF_4",CMP-03422-000642-1,Up to date,3,Yageo Group,AC1210KKX7R0BB104,Volume Production,Newark,AC1210KKX7R0BB104,0.186,0.558
,,824032815,"Tvs Diode, Bidir, 5V, Dfn1610 Rohs Compliant: Yes","D1_TVS, D2_TVS",CMP-03913-133963841-2,Up to date,2,Wurth Elektronik,824032815,Volume Production,Newark,824032815,1.45,2.9
,,LM393D,IC VOLT COMPARATOR DUAL LP 8SOIC,"U_1, U2, U4",CMP-12132-000003-1,Up to date,3,STMicroelectronics,LM393D,Volume Production,Avnet,LM393D,0.21158,0.63474
,,SN74AHC1G02DCKR,"Single 2-Input Positive-NOR Gate, DCK0005A, LARGE T&R",U3,CMP-0859-00418-3,Up to date,1,Texas Instruments,SN74AHC1G02DCKR,Volume Production,Mouser,595-SN74AHC1G02DCKR,0.1,0.1
,,RN73C1E100RBTDF,Res Thin Film 0402 100Ω 0.1% 1/16W 10ppm/°C Molded SMD,"100R, 100R_1",CMP-2002-03415-2,Up to date,2,TE Connectivity,RN73C1E100RBTDF,Volume Production,Mouser,279-RN73C1E100RBTDF,0.72,1.44
,,CRCW020139K0JNED,,"39K, 39K_1",CMP-2004-00545-1,Up to date,2,Vishay,CRCW020139K0JNED,Volume Production,Mouser,71-CRCW020139K0JNED,0.24,0.48
,,MCU08050D1004BP500,RES 1.05K OHM 0.5% 1/5W 0805,1M,CMP-02407-001361-1,Up to date,1,Vishay,MCU08050D1004BP500,Volume Production,,,,
,,Capacitor 10µF +/-40% 6.3V 0402,"Chip Capacitor, 10µF +/-40%, 6.3V, 0402, Thickness 0.6 mm","10uF, C, C_2, C1",CMP-001-00074-3,Up to date,4,Murata,GRM155R60J106ME15D,Volume Production,Mouser,81-GRM155R60J106ME5D,0.062,0.62
,,Capacitor 100nF +/-20% 25V 0402,"Chip Capacitor, 100nF +/-20%, 25V, 0402, Thickness 0.6 mm","100nF_1, 100nF_3, 100nF_5, 100nF_6",CMP-001-00065-4,Up to date,4,Yageo Group,CC0402KRX5R8BB104,Volume Production,Arrow Electronics,CC0402KRX5R8BB104,0.0013,0.0052
,,820K 5% 1206(3216),820K 0.25W 5% 1206 (3216 Metric)  SMD,820K,CMP-1014-00144-1,Up to date,1,Yageo Group,RC1206JR-07820KL,Volume Production,Mouser,603-RC1206JR-07820KL,0.1,0.1
